DT50,KOC,Freundlich,Rate,Scenario,Result
80,835,0.7,1175,4,0.0
80,835,0.7,1175,5,0.0
80,835,0.7,1175,6,0.0
80,835,0.7,1175,7,0.0
80,835,0.7,1175,8,0.0
80,835,0.7,1175,9,0.0
110,105,1.1,1585,1,67.737
110,105,1.1,1585,2,115.964
110,105,1.1,1585,3,94.606
110,105,1.1,1585,4,93.14
110,105,1.1,1585,5,93.513
110,105,1.1,1585,6,79.564
110,105,1.1,1585,7,66.675
110,105,1.1,1585,8,17.748
110,105,1.1,1585,9,46.182
90,1495,0.8,1025,1,0.0
90,1495,0.8,1025,2,0.0
90,1495,0.8,1025,3,0.0
90,1495,0.8,1025,4,0.0
90,1495,0.8,1025,5,0.0
90,1495,0.8,1025,6,0.0
90,1495,0.8,1025,7,0.0
90,1495,0.8,1025,8,0.0
90,1495,0.8,1025,9,0.0
15,865,0.8,475,1,0.0
15,865,0.8,475,2,0.0
15,865,0.8,475,3,0.0
15,865,0.8,475,4,0.0
15,865,0.8,475,5,0.0
15,865,0.8,475,6,0.0
15,865,0.8,475,7,0.0
15,865,0.8,475,8,0.0
15,865,0.8,475,9,0.0
25,515,0.85,1275,1,0.0
25,515,0.85,1275,2,0.0
25,515,0.85,1275,3,0.0
25,515,0.85,1275,4,0.0
25,515,0.85,1275,5,0.0
25,515,0.85,1275,6,0.0
25,515,0.85,1275,7,0.0
25,515,0.85,1275,8,0.0
25,515,0.85,1275,9,0.0
105,1275,1.1,665,1,0.019
105,1275,1.1,665,2,0.172
105,1275,1.1,665,3,0.047
105,1275,1.1,665,4,0.17
105,1275,1.1,665,5,0.251
105,1275,1.1,665,6,0.15
105,1275,1.1,665,7,0.146
105,1275,1.1,665,8,0.0
105,1275,1.1,665,9,0.006
140,1665,0.9,1845,1,0.0
140,1665,0.9,1845,2,0.0
140,1665,0.9,1845,3,0.0
140,1665,0.9,1845,4,0.0
140,1665,0.9,1845,5,0.0
140,1665,0.9,1845,6,0.0
140,1665,0.9,1845,7,0.0
140,1665,0.9,1845,8,0.0
140,1665,0.9,1845,9,0.0
125,1585,0.85,1025,1,0.0
125,1585,0.85,1025,2,0.0
125,1585,0.85,1025,3,0.0
125,1585,0.85,1025,4,0.0
125,1585,0.85,1025,5,0.0
125,1585,0.85,1025,6,0.0
125,1585,0.85,1025,7,0.0
125,1585,0.85,1025,8,0.0
125,1585,0.85,1025,9,0.0
75,775,0.8,1105,1,0.0
75,775,0.8,1105,2,0.0
75,775,0.8,1105,3,0.0
75,775,0.8,1105,4,0.0
75,775,0.8,1105,5,0.0
75,775,0.8,1105,6,0.0
75,775,0.8,1105,7,0.0
75,775,0.8,1105,8,0.0
75,775,0.8,1105,9,0.0
60,455,0.75,575,1,0.0
60,455,0.75,575,2,0.0
60,455,0.75,575,3,0.0
60,455,0.75,575,4,0.0
60,455,0.75,575,5,0.0
60,455,0.75,575,6,0.0
60,455,0.75,575,7,0.0
60,455,0.75,575,8,0.0
60,455,0.75,575,9,0.0
185,1915,1.0,705,1,0.0
185,1915,1.0,705,2,0.006999999999999999
185,1915,1.0,705,3,0.0
185,1915,1.0,705,4,0.006
185,1915,1.0,705,5,0.023
185,1915,1.0,705,6,0.009000000000000001
185,1915,1.0,705,7,0.006
185,1915,1.0,705,8,0.0
185,1915,1.0,705,9,0.0
130,1465,1.1,1625,1,0.036000000000000004
130,1465,1.1,1625,2,0.381
130,1465,1.1,1625,3,0.077
130,1465,1.1,1625,4,0.382
130,1465,1.1,1625,5,0.6
130,1465,1.1,1625,6,0.364
130,1465,1.1,1625,7,0.313
130,1465,1.1,1625,8,0.0
130,1465,1.1,1625,9,0.013
195,1385,0.8,1735,1,0.0
195,1385,0.8,1735,2,0.0
195,1385,0.8,1735,3,0.0
195,1385,0.8,1735,4,0.0
195,1385,0.8,1735,5,0.0
195,1385,0.8,1735,6,0.0
195,1385,0.8,1735,7,0.0
195,1385,0.8,1735,8,0.0
195,1385,0.8,1735,9,0.0
120,1475,1.1,725,1,0.017
120,1475,1.1,725,2,0.171
120,1475,1.1,725,3,0.039
120,1475,1.1,725,4,0.16899999999999998
120,1475,1.1,725,5,0.258
120,1475,1.1,725,6,0.158
120,1475,1.1,725,7,0.141
120,1475,1.1,725,8,0.0
120,1475,1.1,725,9,0.006
60,735,1.0,1955,1,0.0
60,735,1.0,1955,2,0.015
60,735,1.0,1955,3,0.002
60,735,1.0,1955,4,0.014
60,735,1.0,1955,5,0.028
60,735,1.0,1955,6,0.013
60,735,1.0,1955,7,0.011
60,735,1.0,1955,8,0.0
60,735,1.0,1955,9,0.0
45,455,0.9,235,1,0.0
45,455,0.9,235,2,0.0
45,455,0.9,235,3,0.0
45,455,0.9,235,4,0.0
45,455,0.9,235,5,0.0
45,455,0.9,235,6,0.0
45,455,0.9,235,7,0.0
45,455,0.9,235,8,0.0
45,455,0.9,235,9,0.0
55,815,0.7,955,1,0.0
55,815,0.7,955,2,0.0
55,815,0.7,955,3,0.0
55,815,0.7,955,4,0.0
55,815,0.7,955,5,0.0
55,815,0.7,955,6,0.0
55,815,0.7,955,7,0.0
55,815,0.7,955,8,0.0
55,815,0.7,955,9,0.0
175,1555,1.0,1345,1,0.0
175,1555,1.0,1345,2,0.045
175,1555,1.0,1345,3,0.0
175,1555,1.0,1345,4,0.037000000000000005
175,1555,1.0,1345,5,0.117
175,1555,1.0,1345,6,0.051
175,1555,1.0,1345,7,0.037000000000000005
175,1555,1.0,1345,8,0.0
175,1555,1.0,1345,9,0.0
130,155,1.0,1315,1,29.009
130,155,1.0,1315,2,60.11600000000001
130,155,1.0,1315,3,38.679
130,155,1.0,1315,4,46.12300000000001
130,155,1.0,1315,5,51.043
130,155,1.0,1315,6,40.065
130,155,1.0,1315,7,34.981
130,155,1.0,1315,8,2.765
130,155,1.0,1315,9,17.37
80,685,0.7,1455,1,0.0
